,0,1
45,Itachi Uchiha,Kabuto: Isn't acknowledging what you can't do the same as giving up?
46,Hatake Kakashi,"
Itachi: No, it means to forgive yourself for what you aren't able to do. Your comrades are there to make up for what you cannot do and to prevent you from ignoring things that you actually might have been able to do."
47,Itachi Uchiha,"Once you question your own belief, it's over."
48,Haku,"Forget about revenge. The fate of those who seek revenge is grim. It's tragic, You will end up suffering and hurting yourself even more. Even if you do succeed in getting revenge, the only thing that remains is emptiness."
49,Naruto Uzumaki,He who forgives and acknowledges himself... that is what it truly means to be strong!
50,Pain,It is only through the eyes of others that our lives have any meaning.
51,Ōnoki,Don't underestimate me! I don't quit and I don't run! You can act tough all you want! You're not gonna scare me off! No way! I don't care if I DO get stuck as a Genin for the rest of my life! I'll still be Hokage someday!
52,Itachi Uchiha,"Just by living, people hurt others without even realizing it. So long as humanity exists, hate will also exist. There is no peace in this cursed world. War is just a crime paid for by the pain of the defeated..."
53,Itachi Uchiha,"Never give up without even trying. Do what you can, no matter how small the effect it may have!"
54,Naruto Uzumaki,"I'll admit that you're stronger than before. But because of that, you seem to have lost sight of what's truly important. Now listen carefully. The people of the village, who once abhorred you, have begun to admire you. They think of you as a comrade. It's because you fought hard for their acceptance. You once said it was everyone who cares about you who helped you get where you are now. If you forget others because you have power, and become arrogant and egotistical, you'll eventually become just like Madara. No matter how powerful you become, do not try to shoulder everything alone. Becoming the Hokage doesn't mean people will acknowledge you. But when the people acknowledge you, you can become Hokage. Never forget your friends!"
55,Obito Uchiha,The ones who aren't able to acknowledge their own selves are bound to fail.
56,Madara Uchiha,People who continue to put their lives on the line to defend their faith become heroes and continue to exist on in legend.
57,Itachi Uchiha,No one cared who I was until I put on a mask.
58,Choji Akamichi,"....Would you consider dying together ""Teamwork"" as well?"
59,Gaara,People's lives don't end when they die. It ends when they lose faith.
60,Gaara,"You can steal the very last bite of my very best food. You can mock me all you want. But if you insult my best friend, I will obliterate you."
61,Nara Shikamaru,"Three times now... We've fought world wars for our own nations, our own villages. We've hurt one another. We've hated one another. That hatred bred a lust for power, and that lust for power created ME. I was a Jinchuuriki, the embodiment of hatred and power. And I hated this world, and all the people in it... I wanted to destroy it with my own hands. The exact same thing Akatsuki is trying to do today. But one man, one ninja from Konoha stopped me. I was his enemy, yet he wept for me! I hurt him, yet he called me his friend! He saved me! My enemy, my fellow Jinchuuriki... He suffered the same pain as me, yet bore no ill will! There are no enemies here because we've all suffered at Akatsuki's hand! SO THERE IS NO SAND, NO STONE, NO LEAF, NO MIST, NO CLOUD! THERE ARE ONLY SHINOBI! And if you still hold a grudge against the Sand, then when this war is over, come and take my head instead! Our enemies are after the friend who saved my life! If they take him, if we hand him over, our world is finished! I want to protect him, and I want to protect our world! But I'm too young to protect it all on my own! All of you lend me your aid!"
62,Might Guy,"Now there's something I understand a little better. Hate, sadness, even joy. To be able to share it with another person... Naruto Uzumaki. From fighting him I learned that. He knew pain like I did and then he taught me that you can change your path. I wish that one day I can be needed by someone. Not as a frightening weapon... But as the sand's Kazekage."
63,Gaara,Family? Let me tell you what kind of link I have with them. They are just lumps of meat linked by hatred and murderous intent!
64,Sasuke Uchiha,"I understand now. Even if I must take the devil's fruit, I must gain power. I am an avenger."
65,Obito Uchiha,I'm no one. I don't want to be anyone. All I care about is completing the moon's eye plan. This world is completely worthless. There is nothing left in it but misery.
66,Orochimaru,Either people change or they die before they do. It's one or the other. 
67,Kimimaro,"Humans... Do humans have a purpose when they are born? I have been wondering recently. Because they are born, do they have an important duty? The meaning of being born... For humans to find that answer... It is the one freedom God gave them."
68,Sasuke Uchiha,"I have told you before, I'm an avenger. I don't care about this test, Chunin or whatever. 'Am I strong?' that's the answer I want."
69,Itachi Uchiha,"The village does have its dark side and its inconsistencies, but I'm still Konoha's Itachi Uchiha."
70,Madara Uchiha,"Wake up to reality! Nothing ever goes as planned in this world. The longer you live, the more you realize that in this reality only pain, suffering and futility exist."
71,Tobi,It's too late to regret. Reality is just cruelly moving forward.
72,Madara Uchiha,"Man seeks peace, yet at the same time yearning for war... Those are the two realms belonging solely to man. Thinking of peace whilst spilling blood is something that only humans could do. They're two sides of the same coin... to protect something... another must be sacrificed."
73,Pain,"People are stupid. If I don't do this, there will be no peace. Eventually, time will pass and the pain will heal. Eventually, checkmate's power will weaken and people will begin fighting again. This time, they will use the weapon themselves and once more know true pain. And for the short time, peace will come again. It will give birth to short period of peace within this endless chain of hatred. That's my wish."
74,Pain,"When you give up, your dreams and everything else, they're gone."
75,Madara Uchiha,Pain is the way to bring peace.
76,Jiraiya,"Power is not will, it is the phenomenon of physically making things happen."
77,Naruto Uzumaki,"Sometimes you must hurt in order to know, fall in order to grow, lose in order to gain because life's greatest lessons are learned through pain."
78,Hatake Kakashi,Don't improvise what you cannot handle.
79,Itachi Uchiha,"Those who cannot acknowledge themselves, will eventually fail."
80,Orochimaru,Even children are forced to grow up in the face of pain.
81,Hatake Kakashi,"It's human nature not to realize the true value of something, unless they lose it."
82,Madara Uchiha,"In society, those who don't have many abilities, tend to complain more."
83,Naruto Uzumaki,"Talking about peace whilst spilling blood, it's something that only humans can do."
84,Naruto Uzumaki,"If you don't like the hand that fate's dealt you with, fight for a new one!"
85,Jiraiya,"The pain of being alone is completely out of this world, isn't it? I don't know why, but I understand your feelings so much, it actually hurts."
86,Hatake Kakashi,"Getting dumped always makes a man stronger. But then again, men aren't meant to pursue happiness."
87,Rock Lee,"The hole in one's heart gets filled by others around you. Friends won't flock to someone who abandons the memory of his friends and gives up on the world just because things don't go the way he wants them to. That won't help fill the hole in your heart. And people won't help those who run away and do nothing. As long as you don't give up, there will always be salvation."
88,Tobi,"If you believe in your dreams, I will prove to you, that you can achieve your dreams just by working hard."
89,Naruto Uzumaki,Not one wish ever gets granted in this world.
90,Naruto Uzumaki,"If you don't like your destiny, don't accept it. Instead, have the courage to change it the way you want it to be!"
91,Nara Shikamaru,"When people are protecting something truly special to them, they truly can become... as strong as they can be."
92,Itachi Uchiha,There's no advantage to hurrying through life.
93,Jiraiya,No single thing is perfect by itself. That's why we're born to attract other things to make up for what we lack. I think we start walking in the right direction only after we start getting our counterparts beside us.
94,Nara Shikamaru,"Knowing what it feels to be in pain, is exactly why we try to be kind to others."
95,Ohnoki,It's stupid to talk about things you're not. Be yourself and you'll be fine.
96,Nara Shikamaru,"It's because I've experienced pain in the past, that I can even consider what would be best for the future!"
97,Sakura Haruno,"Every one of us must do what's in their power! If we're going to die anyway, then it's better to die fighting than to do nothing!"
98,Itachi Uchiha,Now I feel that maybe knowing who I actually am is the key to reach perfection. Because that means knowing what I can and cannot do.
99,Naruto Uzumaki,"When people have different opinions, you should apply the majority vote."
100,Naruto Uzumaki,Failing doesn't give you a reason to give up as long as you believe.
101,Naruto Uzumaki,If the father's responsibility is to protect the child... then my responsibility is to exceed the father.
102,Sai,"It's because Sakura loves Sasuke that she doesn't want him to sink any lower. It's because she loves him that she wants to rescue him from the evil path he currently walks. Even if the only way to do it is to kill him with her own two hands, I believe, she's prepared to do it because she loves him."
103,Neji Hyuuga,People share only one common fate... death.
104,Shikaku Nara,"Legends from the distant past are always exaggerated, but eventually, someone outdoes them... that's when new legends are born!"
105,Gamabunta,"What's your wish? Peace? Money? Or the world? Whatever you wish for, it's something you have to get with your own strength!"
106,Sakura Haruno,The things that are most important aren't written in books. You have to learn them by experiencing them yourself.
107,Nara Shikamaru,"Someday, I just want to marry a regular girl who isn't too ugly and not too pretty. Have two children, first a girl, then a boy. Retire after my daughter is married and my son becomes a successful ninja, and spend the rest of my life playing shōgi or Go. Then die of old age before my wife."
108,Itachi Uchiha,Self-sacrifice... A nameless shinobi who protects peace within its shadow. That is a true shinobi.
109,Yashamaru,Love is... care and devotion you feel for the precious ones around you.
110,Hiruzen Sarutobi,"It doesn't matter what you do, if you live and die as you like. However, no matter what road you end up taking, remember to protect the people that are precious to you."
111,Nara Shikamaru,"In life, nothing good comes out of hurrying."
112,Jirobou,"I don't know which is more pathetic; the fool, or those who follow him."
113,Sasori,What's the point of something that disappears as soon as it's born?
114,Sai,"A smile is the best way to get oneself out of a tight spot, even if it is a fake one. Surprisingly enough, everyone takes it at face value."
115,Nagato,"War brings death. And wounds and pain to both sides. There's nothing harder to accept, than the deaths of those you love. So you believe they could never die. Especially those who haven't known war."
116,Jiraiya,"A person grows up when he's able to overcome hardships. Protection is important, but there are some things that a person must learn on his own."
117,Chouji Akimichi,"True beauty lies in things that last forever, never rotting or fading."
118,Itachi Uchiha,People become stronger because they have things they cannot forget. That's what you call growth.
119,Hatake Kakashi,"[talking about food] The last bite. It is the final one, and the most suitable one to enjoy the most. No matter what it costs, I will not give it up."
120,Might Guy,Peace under an illusion is not true peace. It's only meaningful if the real world manages to accomplish it.
121,Hatake Kakashi,My power isn't the Rasengan or Sage Jutsu or the Nine Tails chakra. My power is right here. [points to the center of his chest]
122,Gaara,"It's never been ""The one who becomes Hokage will be acknowledge by everyone"", it's ""The one who is acknowledge by everyone, becomes the Hokage""."
123,Obito Uchiha,"In the shinobi world, those that break the written and unwritten rules are deemed trash... but be that as it may... Those that would desregard their comrades so easily are even worse than trash. And those who don't have the decency to respect the memories of their comrades are the worst."
124,Jiraiya,"If you want to be free from your suffering, make up your mind. If you give up on your dream, you will suffer more."
125,Itachi Uchiha,"I really am... shinobi trash. But the one thing I still learned is this. That void is something that everyone helps you fill. Just because you face adversity and hardships, is no reason to give up on this world. A person willing to throw away all those memories... of their friends and comrades, will never find peace of mind. Resorting to something like that isn't going to bury that hole. If you persevere and endure, someone will be there to support you!"
126,Madara Uchiha,"In order to escape a road of solitude, one has to work hard, and forge a new path with their own power."
127,Pain,"Somewhere inside of me?! Take a good look, there's nothing inside of me anymore!!! I don't feel pain, I don't feel anything! You need to let that guilt go Kakashi. This wind hole wasn't your doing... It was made by this evil, cruel world."
128,Gaara,Rejection makes a man stronger.
129,Zabuza Momochi,"Teachings that do not speak of pain have no meaning, for humankind cannot gain anything in return."
130,Sakura Haruno,"Nine-Tails, you are merely a momentary life, a temporary existence of coalesced energy... energy that once was a single, ultimate form! An unstable force, lacking in intelligence or sapience, you require a guide to show you purpose. That guide is the Uchiha! The tailed beasts are but slaves to those with blessed eyes. Obey!"
131,Madara Uchiha,"In this world, wherever there is light - there are also shadows. As long as the concept of winners exists, there must also be losers. The selfish desire of wanting to maintain peace causes wars, and hatred is born to protect love."
132,Orochimaru,"Maybe, just maybe, there is no purpose in life... but if you linger a while longer in this world, you might discover something of value in it."
133,Orochimaru,"True power is forged from the desire smoldering in the heart, it fans into a flame and begins to burn with an intensity one scarcely imagines to be possible..."
134,Pain,"We are but men, drawn to act in the name of revenge that we deem to be justice. But... if there is justice in revenge then that same justice will breed only more revenge... and trigger a cycle of hatred."
135,Hatake Kakashi,"How can you say that you will never change? That you will not change, no matter how great the pain you face? Can you continue believing in yourself forever? Can you guarantee it? Can you have such faith in yourself?!"
136,Naruto Uzumaki,"Behind this mask is...Another mask! Pretty cool, huh? "
137,Gaara,"Listen to yourself whining and complaining like some sorry little victim! You can whimper all day for all I care, you're nothing but a coward!"
138,Rock Lee,One day I'd like to become something precious to others.
139,Naruto Uzumaki,"My motto is to be stronger than yesterday, if I have to I'll be stronger than half a day ago, even a minute ago!"
140,Itachi Uchiha,"While you're alive, you need a reason for your existence. Being unable to find one is the same as being dead."
141,Naruto Uzumaki,It is not wise to judge others based on your own preconceptions and by their appearances.
142,Pain,"It's not the face that makes someone a monster, it's the choices they make with their lives."
143,Pain,"You think you're the only ones who matter. You think you can put off death. But that peace made you foolish and thoughtless. If you kill someone, someone else will kill you... this hatred binds us together."
144,Nara Shikamaru,"Do you understand pain a little now? If you don't share someone's pain, you can never understand them. But just because you understand them doesn't mean you can come to an agreement. That's the truth"
145,Nara Shikamaru,"*To Tayuya* How many times do I have to tell you? The first move is always a feint. It's the most basic thing, to land a hit with the second move."
146,Nara Shikamaru,"*To Temari* It really doesn't matter to me if I ever become a chūnin or not, but I guess I shouldn't let myself be beaten by a female, so let's do it."
147,Naruto Uzumaki,"*To himself, while fighting Temari* Oh man... those clouds are so lucky. so free. More to the point, I didn't feel like doing this in the first place. And I only became a ninja because I thought life would've been more interesting as one... I suppose things aren't gonna be that simple."
148,Nara Shikamaru,"I'm the only one who can bear the full brunt of your hate! It's my job, no one else's! I'll bear the burden of your hatred... and we'll die together!"
149,Neji Hyuuga,"Hinata... this is the unalterable difference in strength... the distinction that separates the elite from the failure. This is the unchangeable reality. From the moment you said you wouldn't run, your defeat was inevitable. The only possible outcome was your present despair... Withdraw!"
150,Orochimaru,"[To Sarutobi] What nonsense! In the grand scheme of time, you're nothing more than a trivial footnote in the brief history of a cluster of huts called the ""Leaf Village""! In time, the Hokage Stone Faces will crumble and be worn down to nothing..."
151,Neji Hyuuga,[To Hinata At Chuunin Exams] So you're not going to withdraw? Then don't blame me for what happens to you.
152,Haku,"{TO NARUTO} Oh, by the way... I'm a boy"
153,Haku,"Often people have it wrong, mistakenly believing... that showing mercy to an enemy is kindness. They spare the foe whose life is in their hands. But don't you see? It's an empty existence, to go on living... alone and unloved... when defeat's already cost you your dream!"
154,Gaara,"Bitter crimson tears flow from lifeless eyes, and mingle with the endless sands... Bestowing ever greater power upon the demon god."
155,Orochimaru,"Darkness. When everything that you know and love is taken away from you so harshly. All you can think about is anger, hatred and even revenge. And no one can save you."
156,Nara Shikamaru,He turned a room full of strangers into a room full of enemies with just one sentence.
157,Itachi Uchiha,"True Change cannot be made if it is bound by laws and limitations, predictions and imagination."
158,Naruto Uzumaki,If we fight again... We're both gonna die.
159,Tenten,The weaker you are the louder you bark.
160,Pain,"Religion, ideology, resources, land, spite, love or just because. No matter how pathetic the reason, it's enough to start a war."
161,Pain,Human nature pursues strife.
162,Jiraiya,All the girls in Konoha are so hot these days.
163,Yashamaru,"A wound of a heart is different from a flesh wound. Unlike a flesh wound, there are no ointments to heal it, and there are times when they never heal."
164,Pain,"Justice comes from vengeance, but that justice only breeds more vengeance."
165,Itachi Uchiha,Any technique is worthless before my eyes.
166,Naruto Uzumaki,I will become a bigger badass than my father. And a stronger shinobi than my mother!
167,Naruto Uzumaki,To become Hokage is my dream!
168,Naruto Uzumaki,"So shut up about ""destiny"" and...how people can't change! 'Cause... unlike me... you're not a ""failure""."
169,Naruto Uzumaki,Sasuke! Sasuke! Sasuke! What does he have that I don't have?!
170,Naruto Uzumaki,"Sasuke, I always knew you were alone. In the beginning I was glad because I thought you were like me - I wanted to talk to you! But you... didn't speak. You always had everyone watching you. You could do everything and we were too different. So I decided that you would become my rival. I didn't want to lose because I was called a loser all the time. Even when we became Team 7, I still thought this way. I always tried to lie but... but the truth is... I always wanted to be like you. I aspired to be like you. Because of that... I was glad that you wanted to fight me."
171,Naruto Uzumaki,"When I'm with Iruka-sensei, I think if that's what having a father is like... *to Sasuke* When I'm with you, I think if that's what having a brother is like."
172,Naruto Uzumaki,"Sakura-chan, you sure do love Sasuke, don't you?"
173,Might Guy,DYNAMIC ENTRY!
174,Kisame Hoshigaki,"[after learning Guy Sensei's name. Might Guy] Yeah, mighty stupid looking guy!"
175,Kisame Hoshigaki,"Hmhmhmhm, I think I will play with you a bit before killing you!"
176,Kisame Hoshigaki,Hmm... Itachi... it would be annoying if he moved around a lot. Perhaps we should cut off a leg or two?
177,Kisame Hoshigaki,I'll enjoy shaving you to death.
178,Kisame Hoshigaki,Konoha's Uchiha clan and the Mist's Seven Shinobi-gatana seem petty before his name.
179,Kimimaro,Against the power of will I posses... The capability of my body is nothing.
180,Kimimaro,"[after Naruto does his Shadow Clone Jutsu] Oh, there sure is a lot of garbage scattered around here. But, trash is just trash after all. It simply needs to be cleaned up."
181,Kimimaro,I don't hate the darkness. It was IN the darkness that I was raised.
182,Kimimaro,I've been wondering... There must be a purpose for people being born into this world. Why are we here? What does it mean? I've been thinking about it a lot lately. I realized that finding our purpose IS the meaning. That's why we're here. And the ones who find it... They're the only ones who are truly free.
183,Kimimaro,"*referring to Orochimaru* I am not his pawn..! He is the one, the only one who ever gave my life meaning!! But how could the likes of you EVER UNDERSTAND THAT?!?"
184,Kimimaro,I will see the truth of this world... LORD OROCHIMARU WILL SHOW ME!!!
185,Kimimaro,"I see...since I am no longer going to be Lord Orochimaru's vessel, my duty is to protect the vessel."
186,Kimimaro,You've only seen one of my dances.
187,Kimimaro,"[to the Sound Ninja Four] Which do you prefer? To die, or to obey?"
188,Kimimaro,"Is there really a god? If there is one, why does he keep me confined in here?"
189,Kimimaro,"If Tayuya comes back, I'll kill her."
190,Kiba Inuzuka,"Akamaru, what's wrong boy? Have you forgotten my scent? We've always been together haven't we? We grew up together. Akamaru please, somewhere in there, there has to be a part of you that remembers. Show me that you remember. AKAMARU! Forgive me. Can you? I know that I've brought you nothing but pain and suffering. I broke my word. I swore I'd always protect you. Akamaru I'm sorry. Sorry I wasn't a better master. I'm here. Here for you. Forever."
191,Kiba Inuzuka,"I called you an idiot, idiot!"
192,Kiba Inuzuka,"It's not bad enough they buried us alive in the oversized dung heap, but now they're stealing our chakra. You gotta give these guys credit for thoroughness!"
193,Kiba Inuzuka,A wall's a wall and there's no wall I can't punch a hole through!
194,Kiba Inuzuka,"Hinata, untie the ropes before you faint."
195,Kiba Inuzuka,"I must be a pretty pathetic owner for you to have bitten me, Akamaru...."
196,Kankuro,A fair warning... we ninja of the Sand aren't as easygoing as those of the Leaf. But getting close to Kuroari so carelessly...isn't good!
197,Kankuro,"[Thinking] What a sucker. He doesn't know I can re-establish control over my puppet within a blink of an eye. It's what makes me an expert puppet master. And so what if Crow's body is out of commission? I don't need his body. Every part of him is a lethal weapon. [To Shino] Looks like you underestimated me, bug boy. For the last time! There's enough poison on that to drop an elephant, so you're dead."
198,Kankuro,You tick me off. I hate short people anyway. And you're so impertinent for someone younger than me. It makes me want to break you.
199,Kankuro,But I want to play around before some noisy people come!
200,Hatake Kakashi,"Gai...what I said earlier...I was out of line. I was being a self-righteous fool. I realize now that if I'd been in your shoes, I probably couldn't have stopped him, either."
201,Hatake Kakashi,"I don't know what this boy means to you, Gai, but I shouldn't have to tell you that we never bring our personal feelings into play. I didn't think you were capable of it."
202,Hatake Kakashi,"I've lived longer than you. And times have been bad. I know the pain of loss. You and I haven't really been fortunate. It's true. But it could be worse. For me, and for you, too... We've found good friends, haven't we? Because of your losses, you should understand."
203,Hatake Kakashi,Sorry I'm late. You wouldn't believe the traffic.
204,Hatake Kakashi,"Sorry I'm late guys, a black cat crossed my path so I had to go the long way."
205,Hatake Kakashi,[thinking] If I'm still sane by the time I finish their training it'll be a miracle!
206,Hatake Kakashi,A ninja must see underneath the underneath.
207,Hatake Kakashi,"Leaf Village Secret-Finger Justu...1,000 Years of Death!!! *sticks his fingers up Naruto's ass*"
208,Hatake Kakashi,Hmmm...how do I put this? My first impression of this group...you're a bunch of idiots!
209,Kabuto Yakushi,[about the inefficacy of his attack against Tsunade] Did it not penetrate deep enough because of her fat breasts?
210,Kabuto Yakushi,"The more you want something, the harder it is to wait for it."
211,Kabuto Yakushi,"Mm, she's strong and scary. I bet she's single."
212,Iruka Umino,[About Naruto] Well that's typical. Not happy unless he's giving people a heart attack.
213,Iruka Umino,[when Naruto transforms into a woman in front of the whole class] CUT THE STUPID TRICKS! THIS IS YOUR LAST WARNING!!
214,Iruka Umino,"[as a child] Why should I be sad?! My parents died protecting the village from the monster fox. They're heroes, and I'm the son of those heroes! If I cry, it's because I'm happy! I'm not even sad that they went and left me all alone..."
215,Iruka Umino,"I hate the fox, but the boy - I don't hate the boy."
216,Iruka Umino,"It seems like the small leaves in the Village of Konoha have inherited that ""will of fire"" you spoke of, Third. The fire on the leaves will eventually burn greater and stronger... It will flash its light and protect this village."
217,Iruka Umino,"When a person dies, he disappears, along with his past, current lifestyle, and his future. Many people die in missions and wars. They die easily and in surprisingly simple ways. Hayate was one of them. Those who die have goals and dreams. But everyone has something as important as those. Parents, siblings, friends, lovers... people who are important to you. They trust and help each other. The bond between the people important to you ever since birth and the string that binds them becomes thicker and stronger as time goes by... It's beyond reason. Those bound to you by that string will do that because it is important."
218,Ino Yamanaka,Billboard brow!!!
219,Ino Yamanaka,"Oh, I'm sorry. Her head's so empty, so I mistook her for a vase and put flowers in her. You might want to spit that out quick, though. Those can be quite poisonous."
220,Ino Yamanaka,I believe you have the potential to bloom into something even more beautiful than the cosmos.
221,Haku,"I am of no more use as his tool. Please, kill me."
222,Haku,"Often people have it wrong, mistakenly believing...that showing mercy to an enemy is kindness. They spare the foe whose life is in their hands... But don't you see? It's an empty existence... to go on living... alone and unloved... when defeat's already cost you your dream!"
223,Haku,Can you understand? Not having a dream... not being needed by anyone... The pain of merely being alive.
224,Haku,That is when I realized that in all of the world no one needed me. I was alone.
225,Haku,I want to make his dreams come true...
226,Haku,Is there... somebody precious to you?
227,Gaara,I took the life of the woman I was supposed to call mother in the process of being born... in order to become the world's strongest shinobi... I became the incarnation of sand...
228,Gaara,It's too bad I don't think of you as anything. If you get in my way... I'll kill you.
229,Gaara,BLOOOOOOOOOOOOOOOD!!! MY BLOOOOOOOOOOOOOD!!!
230,Gaara,"You can make a rain of 1,000 needles. I will make it rain blood."
231,Gaara,People cannot win against their loneliness.
232,Chouji Akimichi,"[When Ino visits him in the hospital] Hehe. I'm also the type that gets girls to visit him. Take that, Shikamaru!"
233,Chouji Akimichi,"I'm not fat, I'm pleasingly plump!"
234,Chouji Akimichi,This punch is heavier than life itself!
235,Chouji Akimichi,Chubbies rule!
236,Anko Mitarashi,"Time's a-wastin' people, let's go!"
237,Itachi Uchiha,You're such a child. You talk of nothing but pipe dreams... there are times when people must make painful choices.
238,Temari,*about Shikamaru* Amazing. This slacker-clown outsmarted me!
239,Temari,Sharpen your kama at sunset.
240,Temari,*to Lee* Get yourself and that loser out of my way.
241,Temari,*to Shikamaru* You are awfully fragile. What kind of man are you?
242,Temari,Wasn't much of a match...kinda boring.
243,Gaara,"He was the one who taught me to deepen my bond with my people. Thanks to him, I was able to regain my true self. That village has him, the one who cherishes a friend's bond more than anyone I know. Naruto Uzumaki... Knowing him and the friends he holds so dear, they will overcome this disaster and grow even stronger from it."
244,Gaara,"This is where it all starts for me. Starting with this small bond. I too want to become someone who is needed, instead of a weapon that is feared. And as the Kazekage of Sunagakure."
245,Gaara,I know him well. He takes too many risks when it comes to his friends...that's why.
246,Gaara,"*to Naruto* I think of you as a friend. I used to think ""friend"" was just another word... Nothing more, nothing less. But when I met you, I realized what was important was the word's meaning."
247,Gaara,"*to Naruto* If you're truly prepared to take up the mantle of a Kage, then as Sasuke's friend, you know what you have to do."
248,Gaara,Peace under an illusion is not a true peace. It's only meaningful if the real world manages to accomplish it.
249,Gaara,When did you forsake yourselves?
250,Gaara,"Up until now, my bonds with others have only been ones of hatred and murder. But, seeing him fight so hard made me wonder what a bond really is. I think I understand a little now. Suffering, sadness...and joy. To be able to share it with another person. Naruto Uzumaki...when I fought him, I feel that is what he taught me."
251,Gaara,Perhaps the companionship of an evil person is preferable to loneliness.
252,Gaara,"You're the same then. When you feel the honor of your idol under scrutiny... you become enraged, as if it were your own honor being questioned. The more precious your idol is to you... the harder you fight for him."
